GTEx Gene,Count,GTEx Gene Name,KL Divergence,TCGA Gene ID,TCGA Gene Name,index
ENSG00000164175.14,1,SLC45A2,0.0261583210920043,ENSG00000164175.15,SLC45A2,11274
ENSG00000207343.1,1,RNU6-225P,0.0262365543399026,ENSG00000207343.1,RNU6-225P,21002
ENSG00000284224.1,1,MIR937,0.026275315283494,ENSG00000284224.1,MIR937,57415
ENSG00000233153.5,1,UBE2E2-AS1,0.0262797351352669,ENSG00000233153.6,UBE2E2-AS1,31286
ENSG00000206727.1,1,SNORD116-9,0.0262915400326397,ENSG00000206727.1,SNORD116-9,20522
ENSG00000258099.1,1,ATXN2-AS,0.0263943351354503,ENSG00000258099.1,ATXN2-AS,44093
ENSG00000200013.1,1,RNU6-623P,0.0265428802336562,ENSG00000200013.1,RNU6-623P,18390
ENSG00000254839.1,1,AF131215.6,0.0266103431750242,ENSG00000269918.1,AF131215.6,50289
ENSG00000239413.1,1,RPS27P23,0.0266819664145152,ENSG00000239413.1,RPS27P23,35133
ENSG00000284064.1,1,MIR6834,0.0268048187023552,ENSG00000284064.1,MIR6834,57335
ENSG00000244116.3,1,IGKV2-28,0.0268443033840394,ENSG00000244116.3,IGKV2-28,37063
ENSG00000227233.1,1,CICP17,0.0268459891360248,ENSG00000227233.1,CICP17,27284
ENSG00000253005.1,1,RNU6-176P,0.0268485827023821,ENSG00000253005.1,RNU6-176P,40790
ENSG00000199605.1,1,RNY4P24,0.0268715459722246,ENSG00000199605.1,RNY4P24,18218
ENSG00000179934.6,1,CCR8,0.0269242617225131,ENSG00000179934.7,CCR8,14764
ENSG00000206796.1,1,RNU6-811P,0.0269344146006508,ENSG00000206796.1,RNU6-811P,20576
ENSG00000230126.1,1,FGF12-AS2,0.0269559341382914,ENSG00000230126.1,FGF12-AS2,29220
ENSG00000167992.12,1,VWCE,0.0269718034586735,ENSG00000167992.13,VWCE,12247
ENSG00000252269.1,1,RNU4ATAC12P,0.0270036025225642,ENSG00000252269.1,RNU4ATAC12P,40299
ENSG00000201550.1,1,RNU6-726P,0.0270350191899671,ENSG00000201550.1,RNU6-726P,19080
ENSG00000178654.11,1,PPIAP33,0.0270770698085505,ENSG00000178654.11,PPIAP33,14518
ENSG00000227035.1,1,MTATP6P18,0.0270938484658826,ENSG00000227035.1,MTATP6P18,27145
ENSG00000222107.1,1,RN7SKP117,0.0271742706046219,ENSG00000222107.1,RN7SKP117,24179
ENSG00000129514.5,1,FOXA1,0.0272225192123273,ENSG00000129514.8,FOXA1,6150
ENSG00000105427.9,1,CNFN,0.0273037328254394,ENSG00000105427.10,CNFN,3106
ENSG00000151033.8,1,LYZL2,0.0273176137164754,ENSG00000151033.10,LYZL2,9354
ENSG00000171773.2,1,NXNL1,0.0273205383654197,ENSG00000171773.3,NXNL1,13134
ENSG00000224966.4,1,TBC1D3P6,0.0273882755650239,ENSG00000224966.4,TBC1D3P6,25721
ENSG00000252971.1,1,RNU6-1057P,0.0273890425507973,ENSG00000252971.1,RNU6-1057P,40764
ENSG00000273742.1,1,MIR6075,0.0274174231128783,ENSG00000273742.1,MIR6075,52473
ENSG00000202360.1,1,RN7SKP249,0.0274523202022789,ENSG00000202360.1,RN7SKP249,19452
ENSG00000226126.2,1,PSMC1P12,0.0274771353849803,ENSG00000226126.2,PSMC1P12,26509
ENSG00000163206.5,1,SMCP,0.0274822326999429,ENSG00000163206.6,SMCP,10939
ENSG00000227382.1,1,EIF4A2P2,0.0275064416706721,ENSG00000227382.1,EIF4A2P2,27386
ENSG00000171501.8,1,OR1N2,0.0275141310021197,ENSG00000171501.10,OR1N2,13076
ENSG00000225497.5,1,KCNMA1-AS2,0.0275179549204789,ENSG00000225497.5,KCNMA1-AS2,26078
ENSG00000243383.3,1,RN7SL89P,0.0275306484427535,ENSG00000243383.3,RN7SL89P,36747
ENSG00000263676.1,1,MIR4632,0.0275476801587854,ENSG00000263676.1,MIR4632,47433
ENSG00000141977.9,1,CIB3,0.0276304291384811,ENSG00000141977.9,CIB3,8185
ENSG00000259334.1,1,LINC00596,0.0276834317464909,ENSG00000259334.1,LINC00596,45071
ENSG00000226869.6,1,LHFPL3-AS1,0.0276834378238424,ENSG00000226869.6,LHFPL3-AS1,27025
ENSG00000255420.1,1,CASC23,0.0277120332530485,ENSG00000255420.2,CASC23,42837
ENSG00000265480.5,1,KRT18P55,0.0277181965855696,ENSG00000265480.5,KRT18P55,48267
ENSG00000254077.1,1,IGLV3-7,0.0277192322487154,ENSG00000254077.1,IGLV3-7,41696
ENSG00000237498.2,1,AC010105.1,0.0277473716913503,ENSG00000237498.3,AC010105.1,34244
ENSG00000206660.1,1,Y_RNA,0.0277507658051517,ENSG00000206660.1,Y_RNA,20468
ENSG00000225738.2,1,NRG3-AS1,0.027760229318635,ENSG00000225738.2,NRG3-AS1,26237
ENSG00000225831.1,1,RPS18P1,0.027777420270648,ENSG00000225831.1,RPS18P1,26301
ENSG00000153303.16,1,FRMD1,0.0277986462095511,ENSG00000153303.17,FRMD1,9646
ENSG00000223087.2,1,RNU6-602P,0.0278734142208031,ENSG00000223087.2,RNU6-602P,24529
ENSG00000229361.5,1,UBTFL7,0.0278943859075629,ENSG00000229361.5,UBTFL7,28697
ENSG00000196289.7,1,BECN2,0.0279047671316965,ENSG00000196289.7,BECN2,17046
ENSG00000244362.3,1,KRTAP19-7,0.0279241195889013,ENSG00000244362.3,KRTAP19-7,37177
ENSG00000200564.1,1,SNORD115-39,0.0279571204174406,ENSG00000200564.1,SNORD115-39,18641
ENSG00000189169.7,1,KRTAP10-12,0.0280224132887366,ENSG00000189169.7,KRTAP10-12,16900
ENSG00000270467.1,1,IGHV3OR16-12,0.0280915902837452,ENSG00000270467.1,IGHV3OR16-12,50599
ENSG00000236581.8,1,STARD13-AS,0.0281289897252945,ENSG00000236581.9,STARD13-AS,33617
ENSG00000176951.6,1,OR51N1P,0.0281410090651823,ENSG00000176951.6,OR51N1P,14186
ENSG00000196578.4,1,OR5AC2,0.0281696091748085,ENSG00000196578.4,OR5AC2,17153
ENSG00000243723.3,1,RN7SL393P,0.0281818005340163,ENSG00000243723.3,RN7SL393P,36887
ENSG00000233751.1,1,AC104772.1,0.0281929656963111,ENSG00000203531.3,AC104772.1,19591
ENSG00000229017.6,1,LINC01277,0.0281955636658437,ENSG00000229017.7,LINC01277,28462
ENSG00000200161.1,1,RN7SKP145,0.0282025979044204,ENSG00000200161.1,RN7SKP145,18451
ENSG00000131264.3,1,CDX4,0.0282446899335988,ENSG00000131264.3,CDX4,6426
ENSG00000207508.1,1,RNU6-1237P,0.0282453629411737,ENSG00000207508.1,RNU6-1237P,21124
ENSG00000278226.1,1,Metazoa_SRP,0.0282881848190048,ENSG00000278226.1,Metazoa_SRP,54716
ENSG00000276566.1,1,IGKV1D-13,0.0283433979895271,ENSG00000276566.1,IGKV1D-13,53870
ENSG00000275692.1,1,MIR6724-4,0.0283456032644145,ENSG00000275692.1,MIR6724-4,53456
ENSG00000158497.3,1,HMHB1,0.0283537682831142,ENSG00000158497.5,HMHB1,10226
ENSG00000219703.1,1,RAP1BP3,0.0283794505559426,ENSG00000219703.1,RAP1BP3,23727
ENSG00000241476.8,1,SSX2,0.0283804906116127,ENSG00000241476.8,SSX2,35977
ENSG00000273484.1,1,OR6R2P,0.0283846650383746,ENSG00000273484.1,OR6R2P,52345
ENSG00000199357.1,1,Y_RNA,0.0284003378351309,ENSG00000199357.1,Y_RNA,18108
ENSG00000269794.1,1,AC010642.2,0.0285009141576344,ENSG00000283103.3,AC010642.2,56761
ENSG00000230252.1,1,MTND2P4,0.0285148947558131,ENSG00000230252.1,MTND2P4,29310
ENSG00000223912.1,1,EEF1A1P36,0.0285247909227117,ENSG00000223912.1,EEF1A1P36,24996
ENSG00000115488.3,1,NEU2,0.0285318504252166,ENSG00000115488.3,NEU2,4437
ENSG00000249975.1,1,OR5H3P,0.0285600188047358,ENSG00000249975.1,OR5H3P,38749
ENSG00000269437.6,1,NXF2B,0.0286629172747806,ENSG00000269437.7,NXF2B,50126
ENSG00000176402.5,1,GJC3,0.0286775849784055,ENSG00000176402.6,GJC3,14073
ENSG00000204148.3,1,LINC00474,0.0287875546473295,ENSG00000204148.3,LINC00474,19757
ENSG00000082175.14,1,PGR,0.0287990971848375,ENSG00000082175.15,PGR,1559
ENSG00000215545.1,1,DEFB116,0.0288180623890458,ENSG00000215545.1,DEFB116,23190
ENSG00000243488.3,1,RN7SL337P,0.0288431314478525,ENSG00000243488.3,RN7SL337P,36787
ENSG00000202100.1,1,Y_RNA,0.028864231808465,ENSG00000202100.1,Y_RNA,19336
ENSG00000231564.1,1,EIF4A1P11,0.0288752323560862,ENSG00000231564.1,EIF4A1P11,30204
ENSG00000249784.1,1,SCARNA22,0.0288876998964732,ENSG00000249784.1,SCARNA22,38623
ENSG00000244661.1,1,TRBV12-1,0.0289455856907041,ENSG00000244661.1,TRBV12-1,37294
ENSG00000206985.1,1,RNU6-198P,0.0289642339976095,ENSG00000206985.1,RNU6-198P,20720
ENSG00000169789.10,1,PRY,0.0290133071271301,ENSG00000169789.10,PRY,12672
ENSG00000205579.3,1,DYNLL1P1,0.0292357124363591,ENSG00000205579.3,DYNLL1P1,20217
ENSG00000200114.1,1,RNA5SP123,0.029284965720229,ENSG00000200114.1,RNA5SP123,18435
ENSG00000231199.2,1,MTND5P19,0.0293580462374807,ENSG00000231199.2,MTND5P19,29963
ENSG00000284148.1,1,MIR6756,0.0293611312462814,ENSG00000284148.1,MIR6756,57375
ENSG00000241333.3,1,RN7SL385P,0.0294234243775594,ENSG00000241333.3,RN7SL385P,35918
ENSG00000213270.5,1,RPL6P25,0.0294338267972555,ENSG00000213270.5,RPL6P25,22256
ENSG00000199762.1,1,Y_RNA,0.0295012709268886,ENSG00000199762.1,Y_RNA,18278
ENSG00000254601.1,1,CYCSP26,0.029507802640703,ENSG00000254601.1,CYCSP26,42121
ENSG00000200742.1,1,Y_RNA,0.029522099157251,ENSG00000200742.1,Y_RNA,18718
ENSG00000214533.3,1,KRT18P33,0.0295830416492905,ENSG00000214533.3,KRT18P33,22828
ENSG00000224233.1,1,OR2J4P,0.0296752606031264,ENSG00000224233.1,OR2J4P,25205
ENSG00000259282.5,1,SPATA8-AS1,0.0297242722723098,ENSG00000259282.5,SPATA8-AS1,45029
ENSG00000226253.1,1,MRPL35P3,0.0297325732132761,ENSG00000226253.1,MRPL35P3,26596
ENSG00000243702.3,1,RN7SL638P,0.0297524563827415,ENSG00000243702.3,RN7SL638P,36876
ENSG00000248572.5,1,EGFLAM-AS2,0.0298200809014723,ENSG00000248572.6,EGFLAM-AS2,37866
ENSG00000167286.9,1,CD3D,0.0298680250679749,ENSG00000167286.10,CD3D,12061
ENSG00000254798.1,1,TFAMP2,0.0298751818922918,ENSG00000254798.1,TFAMP2,42292
ENSG00000147804.9,1,SLC39A4,0.0299122033960588,ENSG00000147804.10,SLC39A4,9020
ENSG00000252214.1,1,RNU6-542P,0.0299478473645002,ENSG00000252214.1,RNU6-542P,40262
ENSG00000221406.1,1,MIR320B2,0.0299801641019592,ENSG00000221406.1,MIR320B2,23958
ENSG00000207092.1,1,Y_RNA,0.0300639096628467,ENSG00000207092.1,Y_RNA,20800
ENSG00000273874.1,1,MIR6859-2,0.0301519757668967,ENSG00000273874.1,MIR6859-2,52539
ENSG00000249210.1,1,GAPDHP38,0.0301578574974479,ENSG00000249210.1,GAPDHP38,38271
ENSG00000225552.1,1,NAALADL2-AS1,0.0302137809364819,ENSG00000225552.1,NAALADL2-AS1,26117
ENSG00000274808.5,1,TBC1D3B,0.0302167290392183,ENSG00000274808.5,TBC1D3B,53010
ENSG00000231541.1,1,RPS6P2,0.0302385089903012,ENSG00000231541.1,RPS6P2,30186
ENSG00000188124.2,1,OR2AG2,0.0302466275840681,ENSG00000188124.3,OR2AG2,16630
ENSG00000105642.15,1,KCNN1,0.030247708878033,ENSG00000105642.15,KCNN1,3151
ENSG00000249582.1,1,RPL7L1P4,0.0303158590409353,ENSG00000249582.1,RPL7L1P4,38501
ENSG00000241128.1,1,OR14A2,0.0303401175716999,ENSG00000241128.2,OR14A2,35828
ENSG00000232973.11,1,CYP1B1-AS1,0.0303605216579707,ENSG00000232973.13,CYP1B1-AS1,31161
ENSG00000271079.1,1,CTAGE15,0.0304010721391683,ENSG00000271079.1,CTAGE15,50978
ENSG00000197487.8,1,GALP,0.0305043592402257,ENSG00000197487.9,GALP,17435
ENSG00000280752.1,1,LINC00850,0.0305359237378474,ENSG00000280752.1,LINC00850,56358
ENSG00000232922.1,1,MTND6P24,0.0305403188745628,ENSG00000232922.1,MTND6P24,31125
ENSG00000221564.1,1,RNU6ATAC42P,0.030620386693077,ENSG00000221564.1,RNU6ATAC42P,24003
ENSG00000155833.14,1,CYLC2,0.0306839221719991,ENSG00000155833.15,CYLC2,9901
ENSG00000172938.3,1,MRGPRD,0.0307294586325509,ENSG00000172938.3,MRGPRD,13409
ENSG00000277914.1,1,DDX6P2,0.030884386623543,ENSG00000277914.1,DDX6P2,54556
ENSG00000281189.1,1,GHET1,0.0309290663632584,ENSG00000281189.1,GHET1,56431
ENSG00000178828.6,1,RNF186,0.03094068965907,ENSG00000178828.7,RNF186,14555
ENSG00000252756.1,1,RNU6-577P,0.0310099903229664,ENSG00000252756.1,RNU6-577P,40624
ENSG00000205274.3,1,TRBV20OR9-2,0.0310197813286474,ENSG00000205274.3,TRBV20OR9-2,20142
ENSG00000235616.1,1,ST13P2,0.03109278130022,ENSG00000235616.1,ST13P2,32965
ENSG00000226093.1,1,RPS28P8,0.031138807905921,ENSG00000226093.1,RPS28P8,26487
ENSG00000144407.9,1,PTH2R,0.0311391369115117,ENSG00000144407.9,PTH2R,8559
ENSG00000268223.4,1,ARL14EPL,0.0311600490738936,ENSG00000268223.6,ARL14EPL,49748
ENSG00000226065.1,1,ZBTB45P2,0.0312568112886075,ENSG00000226065.1,ZBTB45P2,26465
ENSG00000263464.2,1,PPIAL4C,0.0312784789801303,ENSG00000263464.2,PPIAL4C,47335
ENSG00000200047.1,1,RN7SKP115,0.0313434908341744,ENSG00000200047.1,RN7SKP115,18401
ENSG00000237585.1,1,LINC00407,0.0313533706730049,ENSG00000237585.1,LINC00407,34302
ENSG00000240306.2,1,RN7SL100P,0.0314211815002804,ENSG00000240306.2,RN7SL100P,35500
ENSG00000238482.1,1,RNU6-1208P,0.0314272762708835,ENSG00000238482.1,RNU6-1208P,34845
ENSG00000243674.1,1,OR7E66P,0.0314350422523207,ENSG00000243674.1,OR7E66P,36863
ENSG00000105289.14,1,TJP3,0.031484877923902,ENSG00000105289.15,TJP3,3071
ENSG00000142684.8,1,ZNF593,0.031493464500312,ENSG00000142684.9,ZNF593,8270
ENSG00000275356.3,1,C7orf77,0.0315220574798369,ENSG00000275356.5,C7orf77,53287
ENSG00000229009.7,1,TMPRSS11GP,0.0315237500877523,ENSG00000229009.7,TMPRSS11GP,28454
ENSG00000234179.1,1,MTCYBP1,0.0315367723020064,ENSG00000234179.1,MTCYBP1,31988
ENSG00000253131.1,1,IGHV7-56,0.0315602201538437,ENSG00000253131.1,IGHV7-56,40887
ENSG00000230604.2,1,TSEN15P2,0.0315607596025176,ENSG00000230604.2,TSEN15P2,29562
ENSG00000204437.7,1,CTSLP6,0.0315918439658768,ENSG00000204437.7,CTSLP6,19866
ENSG00000201558.1,1,RNVU1-6,0.0316389537637578,ENSG00000201558.1,RNVU1-6,19084
ENSG00000232799.1,1,CRYGFP,0.0316493901848611,ENSG00000232799.1,CRYGFP,31032
ENSG00000198353.7,1,HOXC4,0.0316496904972997,ENSG00000198353.8,HOXC4,17710
ENSG00000271278.1,1,ELOCP33,0.0317000144002314,ENSG00000271278.1,ELOCP33,51110
ENSG00000198153.8,1,ZNF849P,0.0317040652020285,ENSG00000198153.8,ZNF849P,17655
ENSG00000233729.1,1,AC016909.1,0.0318406482978529,ENSG00000228721.1,AC016909.1,28268
ENSG00000185231.4,1,MC2R,0.0318600605001938,ENSG00000185231.5,MC2R,15926
ENSG00000227309.1,1,AC140076.1,0.0318903026789362,ENSG00000227309.1,AC140076.1,27343
ENSG00000144331.18,1,ZNF385B,0.0319030421239353,ENSG00000144331.20,ZNF385B,8547
ENSG00000215506.5,1,TPTE2P4,0.0319113708684269,ENSG00000215506.5,TPTE2P4,23180
ENSG00000259691.2,1,FKBP1AP2,0.0319427226476955,ENSG00000259691.2,FKBP1AP2,45369
ENSG00000228046.2,1,MTCO3P40,0.0319631894883045,ENSG00000228046.2,MTCO3P40,27815
ENSG00000212331.1,1,RNA5SP297,0.0319686357597728,ENSG00000212331.1,RNA5SP297,21883
ENSG00000269959.1,1,SPACA6P-AS,0.0319798416548815,ENSG00000269959.1,SPACA6P-AS,50318
ENSG00000284259.1,1,MIR6773,0.0319799256633896,ENSG00000284259.1,MIR6773,57432
ENSG00000206676.1,1,Y_RNA,0.0320552965490319,ENSG00000206676.1,Y_RNA,20478
ENSG00000248522.1,1,SBF1P1,0.0320949797965818,ENSG00000248522.1,SBF1P1,37831
ENSG00000227421.1,1,LINC01724,0.0321060933007102,ENSG00000227421.2,LINC01724,27412
ENSG00000270479.1,1,BNIP3P37,0.0321633155503943,ENSG00000270479.1,BNIP3P37,50606
ENSG00000267134.1,1,LINC01924,0.0321906222056081,ENSG00000267134.3,LINC01924,49089
ENSG00000223543.1,1,TCEAL4P1,0.0321955219513018,ENSG00000223543.1,TCEAL4P1,24740
ENSG00000215784.5,1,FAM72D,0.0322356753985802,ENSG00000215784.6,FAM72D,23225
ENSG00000006606.8,1,CCL26,0.0322361497304055,ENSG00000006606.9,CCL26,143
ENSG00000137860.11,1,SLC28A2,0.0322390599594073,ENSG00000137860.12,SLC28A2,7555
ENSG00000259361.5,1,LINC00927,0.0322521797665113,ENSG00000259361.7,LINC00927,45095
ENSG00000277677.1,1,Metazoa_SRP,0.0322876829756331,ENSG00000277677.1,Metazoa_SRP,54433
ENSG00000270350.1,1,MTND4LP5,0.0323100377442036,ENSG00000270350.1,MTND4LP5,50527
